Player,Test career,Tests,Catches,Stumpings,Total dismissals
Janardan Navle,1932–1933,2,1,0,1
Dilawar Hussain,1934–1936,3,6,1,7
Dattaram Hindlekar,1936–1946,4,3,0,3
Khershed Meherhomji,1936,1,1,0,1
Jenni Irani,1947,2,2,1,3
Khokhan Sen,1948–1952,14,20,11,31
Nana Joshi,1951–1960,12,18,9,27
Madhav Mantri,1951–1952,3,6,1,7
Vijay Rajindernath,1952,1,0,4,4
Ebrahim Maka,1952–1953,2,2,1,3
Vijay Manjrekar,1953,1,0,1,1
Naren Tamhane,1955–1961,21,35,16,51
Chandrakant Patankar,1955–1956,1,3,1,4
Budhi Kunderan,1960–1967,15,21,7,28
Farokh Engineer,1961–1975,46,66,16,82
Prince Indrajitsinhji,1964–1969,4,6,3,9
Pochiah Krishnamurthy,1971,5,7,1,8
Syed Kirmani,1976–1986,88,160,38,198
Bharath Reddy,1979,4,9,2,11
Sadanand Viswanath,1985,3,11,0,11
Kiran More,1986–1993,49,110,20,130
Chandrakant Pandit,1986–1992,3,11,2,13
Vijay Yadav,1993,1,1,2,3
Nayan Mongia,1994–2001,44,99,8,107
Mannava Prasad,1999–2000,6,15,0,15
Saba Karim,2000,1,1,0,1
Vijay Dahiya,2000,2,6,0,6
Sameer Dighe,2001,6,12,2,14
Deep Dasgupta,2001–2002,8,13,0,13
Ajay Ratra,2002,6,11,2,13
Parthiv Patel,2002–2018,25,62,10,72
Dinesh Karthik,2004–2018,19,51,6,57
Mahendra Singh Dhoni,2005–2014,90,256,38,294
Wriddhiman Saha,2012–present,38,92,11,103
Naman Ojha,2015,1,4,1,5
Rishabh Pant,2018–present,20,75,7,82
Hanif Mohammad,1952,3,2,0,2
Imtiaz Ahmed,1952–1962,38,74,16,90
Ijaz Butt,1962,1,2,0,2
Abdul Kadir,1964,2,0,1,1
Naushad Ali,1965,6,9,0,9
Wasim Bari,1967–1984,81,201,27,228
Shahid Israr,1976,1,2,0,2
Taslim Arif,1980,5,6,3,9
Saleem Yousuf,1982–1990,32,91,13,104
Ashraf Ali,1982–1987,8,17,5,22
Anil Dalpat,1984–1985,9,22,3,25
